"","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachment","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"3310","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","w","o","p","n","y","d"
"3311","f","y","e","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","n","v","d"
"3312","f","y","g","t","n","f","c","b","p","t","b","s","s","p","g","w","o","p","n","y","d"
"3313","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","n","v","d"
"3314","x","f","g","f","f","f","c","b","h","e","b","k","k","p","p","w","o","l","h","y","d"
"3315","f","y","g","t","n","f","c","b","u","t","b","s","s","w","p","w","o","p","k","y","d"
"3316","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","w","o","p","n","v","d"
"3317","f","f","g","t","n","f","c","b","w","t","b","s","s","p","p","w","o","p","n","y","d"
"3318","f","y","g","t","n","f","c","b","p","t","b","s","s","p","g","w","o","p","n","v","d"
"3319","f","f","e","t","n","f","c","b","p","t","b","s","s","p","g","w","o","p","k","y","d"
"3320","f","f","e","t","n","f","c","b","n","t","b","s","s","w","g","w","o","p","k","y","d"
"3321","f","y","n","t","n","f","c","b","p","t","b","s","s","g","w","w","o","p","n","v","d"
"3322","f","f","n","t","n","f","c","b","w","t","b","s","s","w","p","w","o","p","k","v","d"
"3323","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","w","o","p","n","s","d"
"3324","x","f","g","f","f","f","c","b","p","e","b","k","k","n","n","w","o","l","h","v","d"
"3325","f","y","g","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","n","v","d"
"3326","f","y","e","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","n","v","d"
"3327","x","s","w","f","c","f","c","n","g","e","b","s","s","w","w","w","o","p","k","s","d"
"3328","x","f","p","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","n","v","d"
"3329","x","f","g","f","f","f","c","b","g","e","b","k","k","b","b","w","o","l","h","y","p"
"3330","x","f","g","t","n","f","c","b","p","t","b","s","s","w","p","w","o","p","k","v","d"
"3331","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","w","o","p","k","v","d"
"3332","x","s","p","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","k","s","d"
"3333","f","y","g","t","n","f","c","b","n","t","b","s","s","g","p","w","o","p","n","y","d"
"3334","f","y","n","t","n","f","c","b","n","t","b","s","s","p","p","w","o","p","k","y","d"
"3335","x","f","g","f","f","f","c","b","g","e","b","k","k","b","p","w","o","l","h","v","g"
"3336","f","y","n","t","n","f","c","b","w","t","b","s","s","g","p","w","o","p","k","v","d"
"3337","x","f","e","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","k","y","d"
"3338","x","f","w","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","k","v","d"
"3339","f","y","n","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","n","y","d"
"3340","x","f","g","f","f","f","c","b","g","e","b","k","k","p","n","w","o","l","h","v","d"
"3341","f","y","e","t","n","f","c","b","n","t","b","s","s","w","g","w","o","p","k","y","d"
"3342","x","f","y","f","f","f","c","b","p","e","b","k","k","n","n","w","o","l","h","y","p"
"3343","f","f","g","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","v","d"
"3344","x","f","e","t","n","f","c","b","n","t","b","s","s","g","p","w","o","p","k","y","d"
"3345","f","y","e","t","n","f","c","b","n","t","b","s","s","p","p","w","o","p","n","v","d"
"3346","f","y","g","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","k","v","d"
"3347","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","w","o","p","k","v","d"
"3348","f","y","g","t","n","f","c","b","w","t","b","s","s","w","w","w","o","p","n","y","d"
"3349","f","f","e","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","k","v","d"
"3350","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","w","o","l","h","y","p"
"3351","f","y","n","t","n","f","c","b","w","t","b","s","s","g","p","w","o","p","n","v","d"
"3352","x","s","g","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","n","s","d"
"3353","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","w","o","l","h","v","g"
"3354","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","k","v","d"
"3355","f","y","n","t","n","f","c","b","u","t","b","s","s","p","w","w","o","p","n","v","d"
"3356","f","y","g","t","n","f","c","b","n","t","b","s","s","w","p","w","o","p","k","v","d"
"3357","f","f","g","t","n","f","c","b","u","t","b","s","s","w","p","w","o","p","n","y","d"
"3358","x","f","w","f","c","f","c","n","p","e","b","s","s","w","w","w","o","p","k","v","d"
"3359","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","w","o","l","h","v","g"
"3360","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","w","o","p","n","v","d"
"3361","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","w","o","p","n","v","d"
"3362","f","y","e","t","n","f","c","b","w","t","b","s","s","p","p","w","o","p","n","v","d"
"3363","f","y","g","f","f","f","c","b","h","e","b","k","k","b","n","w","o","l","h","y","d"
"3364","x","f","g","f","f","f","c","b","h","e","b","k","k","n","n","w","o","l","h","y","g"
"3365","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","w","o","p","n","y","d"
"3366","x","f","p","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","n","s","d"
"3367","x","s","g","f","c","f","c","n","u","e","b","s","s","w","w","w","o","p","k","s","d"
"3368","f","y","e","t","n","f","c","b","w","t","b","s","s","w","g","w","o","p","k","v","d"
"3369","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","w","o","p","n","y","d"
"3370","f","y","e","t","n","f","c","b","w","t","b","s","s","p","g","w","o","p","k","y","d"
"3371","f","y","n","t","n","f","c","b","w","t","b","s","s","w","g","w","o","p","k","v","d"
"3372","x","s","p","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","n","v","d"
"3373","x","f","g","f","f","f","c","b","p","e","b","k","k","n","n","w","o","l","h","y","d"
"3374","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","w","o","p","k","v","d"
"3375","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","w","o","p","n","v","d"
"3376","f","f","g","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","k","v","d"
"3377","f","f","e","t","n","f","c","b","u","t","b","s","s","w","p","w","o","p","n","y","d"
"3378","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","w","o","p","n","y","d"
"3379","f","y","e","t","n","f","c","b","w","t","b","s","s","g","g","w","o","p","k","v","d"
"3380","f","f","y","f","f","f","c","b","g","e","b","k","k","b","n","w","o","l","h","v","p"
"3381","x","f","g","t","n","f","c","b","p","t","b","s","s","w","p","w","o","p","k","y","d"
"3382","x","s","p","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","n","s","d"
"3383","x","y","e","t","n","f","c","b","w","t","b","s","s","w","p","w","o","p","n","y","d"
"3384","f","f","g","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","y","d"
"3385","f","f","e","t","n","f","c","b","u","t","b","s","s","g","w","w","o","p","n","v","d"
"3386","x","f","e","t","n","f","c","b","u","t","b","s","s","p","w","w","o","p","k","v","d"
"3387","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","w","o","p","k","v","d"
"3388","f","f","e","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","n","v","d"
"3389","x","s","w","f","c","f","w","n","n","e","b","s","s","w","w","w","o","p","n","v","d"
"3390","x","y","g","f","f","f","c","b","g","e","b","k","k","p","p","w","o","l","h","y","d"
"3391","x","f","p","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","k","v","d"
"3392","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","w","o","p","n","y","d"
"3393","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","w","o","p","n","v","d"
"3394","x","f","g","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","n","s","d"
"3395","f","y","n","t","n","f","c","b","w","t","b","s","s","p","p","w","o","p","k","y","d"
"3396","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","w","o","p","k","v","d"
"3397","f","f","e","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","n","y","d"
"3398","x","s","w","f","c","f","w","n","n","e","b","s","s","w","w","w","o","p","k","s","d"
"3399","x","y","n","t","n","f","c","b","n","t","b","s","s","g","p","w","o","p","n","v","d"
"3400","x","f","g","f","f","f","c","b","g","e","b","k","k","p","n","w","o","l","h","y","g"
"3401","x","s","g","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","k","s","d"
"3402","f","y","n","t","n","f","c","b","n","t","b","s","s","g","g","w","o","p","n","y","d"
"3403","x","f","g","f","f","f","c","b","g","e","b","k","k","p","p","w","o","l","h","y","g"
"3404","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","w","o","p","k","v","d"
"3405","f","y","e","t","n","f","c","b","u","t","b","s","s","p","w","w","o","p","k","y","d"
"3406","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","n","s","d"
"3407","x","y","g","t","n","f","c","b","p","t","b","s","s","g","w","w","o","p","n","v","d"
"3408","x","y","g","t","n","f","c","b","w","t","b","s","s","p","w","w","o","p","k","y","d"
"3409","f","y","n","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","n","y","d"
"3410","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","w","o","p","k","v","d"
"3411","f","f","n","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","n","y","d"
"3412","x","s","g","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","n","s","d"
"3413","f","f","g","t","n","f","c","b","w","t","b","s","s","w","p","w","o","p","k","v","d"
"3414","x","f","e","t","n","f","c","b","u","t","b","s","s","p","g","w","o","p","n","v","d"
"3415","f","f","g","t","n","f","c","b","w","t","b","s","s","g","w","w","o","p","n","y","d"
"3416","f","y","e","t","n","f","c","b","n","t","b","s","s","w","g","w","o","p","n","y","d"
"3417","f","y","n","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","k","v","d"
"3418","x","f","g","f","f","f","c","b","g","e","b","k","k","n","p","w","o","l","h","y","g"
"3419","x","s","g","f","c","f","c","n","p","e","b","s","s","w","w","w","o","p","n","s","d"
"3420","f","y","e","t","n","f","c","b","w","t","b","s","s","g","g","w","o","p","k","y","d"
"3421","x","y","g","t","n","f","c","b","w","t","b","s","s","p","w","w","o","p","n","y","d"
"3422","x","f","g","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","k","v","d"
"3423","f","y","n","t","n","f","c","b","n","t","b","s","s","w","w","w","o","p","k","y","d"
"3424","f","y","g","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","k","y","d"
"3425","f","f","e","t","n","f","c","b","u","t","b","s","s","p","w","w","o","p","k","v","d"
"3426","x","f","y","f","f","f","c","b","p","e","b","k","k","n","b","w","o","l","h","v","p"
"3427","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","k","v","d"
"3428","f","y","g","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","n","y","d"
"3429","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","n","y","d"
"3430","f","y","n","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","y","d"
"3431","f","y","g","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","n","v","d"
"3432","f","y","g","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","k","v","d"
"3433","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","w","o","l","h","v","p"
"3434","f","y","g","t","n","f","c","b","w","t","b","s","s","p","w","w","o","p","k","y","d"
"3435","f","f","e","t","n","f","c","b","p","t","b","s","s","g","w","w","o","p","n","v","d"
"3436","x","f","g","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","n","v","d"
"3437","f","y","g","t","n","f","c","b","u","t","b","s","s","w","p","w","o","p","n","v","d"
"3438","f","y","g","f","f","f","c","b","h","e","b","k","k","p","p","w","o","l","h","y","p"
"3439","f","f","e","t","n","f","c","b","u","t","b","s","s","p","g","w","o","p","k","y","d"
"3440","x","f","g","f","f","f","c","b","h","e","b","k","k","b","p","w","o","l","h","v","p"
"3441","f","y","g","t","n","f","c","b","u","t","b","s","s","w","p","w","o","p","k","v","d"
"3442","x","f","p","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","n","s","d"
"3443","f","f","e","t","n","f","c","b","w","t","b","s","s","p","p","w","o","p","n","v","d"
"3444","x","f","p","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","n","v","d"
"3445","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","w","o","p","n","s","d"
"3446","f","y","g","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","n","v","d"
"3447","x","s","p","f","c","f","w","n","u","e","b","s","s","w","w","w","o","p","n","v","d"
"3448","x","f","g","f","f","f","c","b","g","e","b","k","k","b","b","w","o","l","h","y","d"
"3449","x","f","n","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","n","v","d"
"3450","f","y","g","t","n","f","c","b","p","t","b","s","s","p","p","w","o","p","k","y","d"
"3451","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","w","o","p","k","y","d"
"3452","x","f","g","f","f","f","c","b","p","e","b","k","k","p","b","w","o","l","h","y","g"
"3453","x","f","g","f","c","f","w","n","n","e","b","s","s","w","w","w","o","p","n","v","d"
"3454","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","w","o","l","h","v","p"
"3455","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","w","o","p","n","s","d"
"3456","f","y","n","t","n","f","c","b","p","t","b","s","s","g","w","w","o","p","k","y","d"
"3457","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","w","o","p","k","y","d"
"3458","x","f","w","f","c","f","w","n","g","e","b","s","s","w","w","w","o","p","k","s","d"
"3459","x","y","g","t","n","f","c","b","w","t","b","s","s","g","w","w","o","p","k","y","d"
"3460","f","y","n","t","n","f","c","b","w","t","b","s","s","w","p","w","o","p","k","v","d"
"3461","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","w","o","p","k","y","d"
"3462","x","y","e","t","n","f","c","b","p","t","b","s","s","p","g","w","o","p","k","y","d"
"3463","f","y","e","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","k","y","d"
"3464","x","f","w","f","c","f","w","n","n","e","b","s","s","w","w","w","o","p","k","s","d"
"3465","f","f","e","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","n","y","d"
"3466","x","y","y","f","f","f","c","b","h","e","b","k","k","n","p","w","o","l","h","y","d"
"3467","f","f","g","t","n","f","c","b","p","t","b","s","s","w","p","w","o","p","n","v","d"
"3468","f","y","n","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","n","v","d"
"3469","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","n","v","d"
"3470","x","s","p","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","n","v","d"
"3471","f","f","e","t","n","f","c","b","u","t","b","s","s","g","p","w","o","p","n","y","d"
"3472","x","f","g","t","n","f","c","b","p","t","b","s","s","p","p","w","o","p","k","v","d"
"3473","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","y","d"
"3474","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","w","o","l","h","v","p"
"3475","x","y","n","t","n","f","c","b","u","t","b","s","s","w","w","w","o","p","k","v","d"
"3476","f","y","g","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","k","y","d"
"3477","f","f","g","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","n","y","d"
"3478","x","f","g","f","c","f","c","n","p","e","b","s","s","w","w","w","o","p","k","s","d"
"3479","f","y","n","t","n","f","c","b","p","t","b","s","s","w","p","w","o","p","n","v","d"
"3480","x","f","g","f","f","f","c","b","h","e","b","k","k","p","p","w","o","l","h","v","p"
"3481","f","y","g","t","n","f","c","b","u","t","b","s","s","p","p","w","o","p","k","v","d"
"3482","f","f","e","t","n","f","c","b","u","t","b","s","s","p","g","w","o","p","k","v","d"
"3483","f","f","e","t","n","f","c","b","n","t","b","s","s","w","p","w","o","p","k","y","d"
"3484","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","w","o","p","n","v","d"
"3485","x","f","w","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","n","s","d"
"3486","f","f","e","t","n","f","c","b","w","t","b","s","s","p","w","w","o","p","k","v","d"
"3487","f","f","e","t","n","f","c","b","p","t","b","s","s","w","w","w","o","p","k","v","d"
"3488","f","y","n","t","n","f","c","b","u","t","b","s","s","p","g","w","o","p","k","y","d"
"3489","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","w","o","l","h","v","g"
"3490","f","y","g","t","n","f","c","b","w","t","b","s","s","g","g","w","o","p","k","y","d"
"3491","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","w","o","l","h","y","p"
"3492","f","f","e","t","n","f","c","b","w","t","b","s","s","g","p","w","o","p","n","y","d"
"3493","x","f","g","f","f","f","c","b","h","e","b","k","k","n","p","w","o","l","h","v","g"
"3494","f","y","g","t","n","f","c","b","u","t","b","s","s","p","w","w","o","p","n","v","d"
"3495","f","f","e","t","n","f","c","b","u","t","b","s","s","w","w","w","o","p","k","y","d"
"3496","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","w","o","p","n","v","d"
"3497","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","w","o","l","h","y","d"
"3498","f","f","e","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","y","d"
"3499","x","f","g","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","n","v","d"
"3500","f","y","g","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","n","v","d"
"3501","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","w","o","p","k","s","d"
"3502","f","f","e","t","n","f","c","b","p","t","b","s","s","w","p","w","o","p","k","y","d"
"3503","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","w","o","p","k","y","d"
"3504","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","n","y","d"
"3505","x","f","e","t","n","f","c","b","n","t","b","s","s","g","p","w","o","p","k","v","d"
"3506","f","y","n","t","n","f","c","b","u","t","b","s","s","p","w","w","o","p","k","v","d"
"3507","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","w","o","l","h","v","g"
"3508","x","f","g","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","k","v","d"
"3509","x","f","g","f","f","f","c","b","g","e","b","k","k","b","n","w","o","l","h","y","d"
"3510","f","y","g","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","k","v","d"
"3511","f","y","n","t","n","f","c","b","p","t","b","s","s","p","p","w","o","p","n","y","d"
"3512","x","y","g","f","f","f","c","b","h","e","b","k","k","b","p","w","o","l","h","v","d"
"3513","f","y","g","t","n","f","c","b","w","t","b","s","s","w","p","w","o","p","n","y","d"
"3514","f","f","g","f","f","f","c","b","p","e","b","k","k","n","p","w","o","l","h","v","d"
"3515","f","y","e","t","n","f","c","b","w","t","b","s","s","p","p","w","o","p","k","y","d"
"3516","x","s","g","f","c","f","c","n","g","e","b","s","s","w","w","w","o","p","n","v","d"
"3517","f","y","e","t","n","f","c","b","u","t","b","s","s","p","w","w","o","p","k","v","d"
"3518","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","w","o","p","k","y","d"
"3519","x","f","e","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","k","v","d"
"3520","f","y","e","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","k","v","d"
"3521","f","y","g","t","n","f","c","b","w","t","b","s","s","p","g","w","o","p","n","v","d"
"3522","x","s","p","f","c","f","w","n","n","e","b","s","s","w","w","w","o","p","k","s","d"
"3523","f","f","g","f","f","f","c","b","h","e","b","k","k","b","p","w","o","l","h","v","d"
"3524","f","f","g","t","n","f","c","b","w","t","b","s","s","p","w","w","o","p","n","v","d"
"3525","f","f","e","t","n","f","c","b","w","t","b","s","s","w","g","w","o","p","n","y","d"
"3526","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","w","o","p","n","v","d"
"3527","f","f","n","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","n","y","d"
"3528","f","y","g","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","k","v","d"
"3529","f","y","e","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","k","y","d"
"3530","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","w","o","p","k","y","d"
"3531","x","f","g","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","n","y","d"
"3532","x","s","w","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","n","v","d"
"3533","f","y","g","t","n","f","c","b","n","t","b","s","s","g","g","w","o","p","k","y","d"
"3534","x","y","g","f","f","f","c","b","p","e","b","k","k","b","p","w","o","l","h","v","d"
"3535","f","y","n","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","k","v","d"
"3536","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","k","v","d"
"3537","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","w","o","p","k","s","d"
"3538","f","y","g","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","n","y","d"
"3539","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","w","o","p","n","v","d"
"3540","x","f","g","f","f","f","c","b","g","e","b","k","k","p","n","w","o","l","h","y","d"
"3541","x","y","n","t","n","f","c","b","w","t","b","s","s","g","p","w","o","p","n","y","d"
"3542","f","y","e","t","n","f","c","b","u","t","b","s","s","p","g","w","o","p","n","v","d"
"3543","f","f","e","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","k","v","d"
"3544","x","s","p","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","n","s","d"
"3545","x","f","g","f","f","f","c","b","h","e","b","k","k","p","p","w","o","l","h","v","d"
"3546","f","y","e","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","k","v","d"
"3547","f","y","g","t","n","f","c","b","p","t","b","s","s","g","w","w","o","p","k","v","d"
"3548","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","w","o","p","n","v","d"
"3549","f","f","g","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","n","y","d"
"3550","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","w","o","p","k","y","d"
"3551","f","f","n","t","n","f","c","b","u","t","b","s","s","g","w","w","o","p","k","v","d"
"3552","x","y","g","t","n","f","c","b","n","t","b","s","s","w","w","w","o","p","n","v","d"
"3553","x","y","n","t","n","f","c","b","w","t","b","s","s","w","p","w","o","p","n","y","d"
"3554","f","y","n","t","n","f","c","b","u","t","b","s","s","g","p","w","o","p","n","y","d"
"3555","x","f","p","f","c","f","c","n","p","e","b","s","s","w","w","w","o","p","k","v","d"
"3556","f","f","e","t","n","f","c","b","p","t","b","s","s","w","p","w","o","p","k","v","d"
"3557","x","y","y","f","f","f","c","b","p","e","b","k","k","n","n","w","o","l","h","y","d"
"3558","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","w","o","p","n","v","d"
"3559","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","w","o","p","k","v","d"
"3560","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","w","o","l","h","v","d"
"3561","x","f","g","f","c","f","w","n","n","e","b","s","s","w","w","w","o","p","k","s","d"
"3562","f","y","g","t","n","f","c","b","p","t","b","s","s","p","g","w","o","p","k","y","d"
"3563","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","v","d"
"3564","f","y","g","t","n","f","c","b","w","t","b","s","s","g","p","w","o","p","n","v","d"
"3565","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","w","o","p","n","y","d"
"3566","x","f","y","f","f","f","c","b","p","e","b","k","k","b","n","w","o","l","h","v","g"
"3567","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","w","o","p","n","y","d"
"3568","x","f","g","f","f","f","c","b","p","e","b","k","k","b","p","w","o","l","h","v","p"
"3569","f","y","e","t","n","f","c","b","u","t","b","s","s","g","w","w","o","p","n","v","d"
"3570","f","f","e","t","n","f","c","b","w","t","b","s","s","p","g","w","o","p","n","y","d"
"3571","f","f","g","f","f","f","c","b","p","e","b","k","k","n","p","w","o","l","h","y","d"
"3572","f","f","e","t","n","f","c","b","p","t","b","s","s","p","g","w","o","p","k","v","d"
"3573","x","f","y","f","f","f","c","b","g","e","b","k","k","p","n","w","o","l","h","y","p"
"3574","f","f","e","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","n","v","d"
"3575","f","f","g","t","n","f","c","b","u","t","b","s","s","w","w","w","o","p","n","v","d"
"3576","f","f","e","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","k","v","d"
"3577","f","y","e","t","n","f","c","b","n","t","b","s","s","w","w","w","o","p","n","v","d"
"3578","f","y","e","t","n","f","c","b","n","t","b","s","s","g","w","w","o","p","k","y","d"
"3579","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","w","o","p","n","v","d"
"3580","f","f","g","t","n","f","c","b","w","t","b","s","s","g","g","w","o","p","n","v","d"
"3581","f","f","e","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","n","v","d"
"3582","x","f","g","f","f","f","c","b","g","e","b","k","k","b","b","w","o","l","h","v","g"
"3583","f","y","n","t","n","f","c","b","u","t","b","s","s","w","g","w","o","p","k","y","d"
"3584","x","f","g","f","c","f","c","n","n","e","b","s","s","w","w","w","o","p","k","v","d"
"3585","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","w","o","p","n","v","d"
"3586","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","w","o","p","k","v","d"
"3587","x","f","e","t","n","f","c","b","p","t","b","s","s","p","g","w","o","p","k","y","d"
"3588","f","y","e","t","n","f","c","b","p","t","b","s","s","p","p","w","o","p","k","y","d"
"3589","f","f","g","t","n","f","c","b","p","t","b","s","s","p","p","w","o","p","n","v","d"
"3590","x","y","g","t","n","f","c","b","p","t","b","s","s","g","g","w","o","p","n","v","d"
"3591","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","w","o","p","k","s","d"
"3592","x","y","n","t","n","f","c","b","n","t","b","s","s","p","p","w","o","p","n","y","d"
"3593","f","y","n","t","n","f","c","b","n","t","b","s","s","w","g","w","o","p","k","v","d"
"3594","f","y","g","t","n","f","c","b","w","t","b","s","s","p","g","w","o","p","k","y","d"
"3595","f","f","g","f","f","f","c","b","g","e","b","k","k","n","n","w","o","l","h","y","g"
"3596","f","y","g","t","n","f","c","b","w","t","b","s","s","p","p","w","o","p","n","v","d"
"3597","f","y","e","t","n","f","c","b","n","t","b","s","s","g","g","w","o","p","k","y","d"
"3598","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","w","o","l","h","y","g"
"3599","f","y","n","t","n","f","c","b","n","t","b","s","s","p","g","w","o","p","k","y","d"
"3600","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","w","o","l","h","v","g"
"3601","f","f","e","t","n","f","c","b","w","t","b","s","s","w","p","w","o","p","k","y","d"
"3602","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","w","o","p","k","y","d"
"3603","x","y","g","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","k","y","d"
